City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Uray,RU,6.87,overcast clouds,60.1247,64.7758,Hotel Pioner
617,Mackenzie,CA,26.82,light snow,55.2999,-123.1698,Hilton Shop
621,Leh,IN,13.23,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
622,Starosubkhangulovo,RU,9.55,overcast clouds,53.1031,57.4423,"Gostinichnyy Kompleks ""Yulbars"""
626,Ostersund,SE,20.61,light snow,63.1792,14.6357,Best Western Hotel Gamla Teatern
629,Beaverlodge,CA,27.75,clear sky,55.2166,-119.4361,Side Trax Inn
642,Mandalgovi,MN,20.5,scattered clouds,45.7625,106.2708,В.Ганбат
643,Vitim,RU,10.22,light snow,59.4511,112.5578,Gostinitsa V Apteke
652,Ayan,RU,14.86,broken clouds,56.45,138.1667,Gostinitsa
654,Zaysan,KZ,14.86,light snow,47.4667,84.8667,Ерлан үй
655,Pershotravneve,UA,25.03,light snow,51.3929,28.8684,Kempinh
660,Darhan,MN,9.19,overcast clouds,49.4867,105.9228,Buudai Hotel
664,Hearst,CA,3.45,overcast clouds,49.6835,-83.6665,Companion
665,Fairbanks,US,10.4,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
677,Yar-Sale,RU,16.84,overcast clouds,66.8333,70.8333,Yalemd
679,Purpe,RU,12.54,light snow,64.4803,76.6897,"Gostinnitsa ""Valentina"""
681,Aklavik,CA,15.8,light snow,68.2191,-135.0107,Aklavik Inn
685,Razdolnoye,RU,10.81,scattered clouds,43.55,131.9167,"Baza Otdykha ""Lesnaya"""
703,Sainte-Adele,CA,15.42,overcast clouds,45.9501,-74.1325,Hôtel Spa Château Sainte-Adèle
705,Dongsheng,CN,26.22,clear sky,39.8161,109.9776,Crowne Plaza Ordos
718,Baile Herculane,RO,29.03,scattered clouds,44.8797,22.4125,Afrodita Resort & Spa
