City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Avarua,CK,-21.2078,-159.775,80.65,83,90,2.3,light rain
80,Lisakovsk,KZ,52.5369,62.4936,9.14,81,96,7.54,overcast clouds
81,Luderitz,NA,-26.6481,15.1594,61.36,92,0,11.61,clear sky
82,Mason City,US,43.1536,-93.201,28.67,64,82,6.26,broken clouds
83,Chokurdakh,RU,70.6333,147.9167,-47.78,100,97,3.38,overcast clouds
84,Dakar,SN,14.6937,-17.4441,75.33,78,76,4.61,broken clouds
85,Tabou,CI,4.423,-7.3528,80.44,82,15,10.22,few clouds
86,Cedar City,US,37.6775,-113.0619,43.39,64,85,9.17,overcast clouds
87,Pueblo Nuevo,MX,23.3833,-105.3833,71.31,22,13,6.53,few clouds
88,Manadhoo,MV,5.7667,73.3833,81.28,74,69,3.04,broken clouds
89,Ilulissat,GL,69.2167,-51.1,7.84,80,100,3.22,overcast clouds
90,Esperance,AU,-33.8667,121.9,57.04,75,0,18.37,clear sky
91,Katherine,AU,-14.4667,132.2667,77.32,88,75,6.91,broken clouds
92,Ishigaki,JP,24.3448,124.1572,70.92,62,100,17.05,overcast clouds
93,Port Elizabeth,ZA,-33.918,25.5701,65.1,100,90,6.91,light rain
94,Guerrero Negro,MX,27.9769,-114.0611,69.93,49,100,5.88,overcast clouds
95,Geraldton,AU,-28.7667,114.6,70.21,88,90,9.22,overcast clouds
96,Kattivakkam,IN,13.2167,80.3167,82.08,86,0,7.07,clear sky
97,Kuching,MY,1.55,110.3333,75.42,100,40,2.3,scattered clouds
98,Bluff,NZ,-46.6,168.3333,52.81,88,100,5.19,overcast clouds
99,Dingle,PH,10.9995,122.6711,75.9,89,98,13.04,moderate rain
100,Faanui,PF,-16.4833,-151.75,81.34,76,27,14.03,scattered clouds
101,Lagoa,PT,39.05,-27.9833,60.44,54,100,1.41,overcast clouds
102,Adrar,MR,20.5022,-10.0711,63.64,13,25,12.12,scattered clouds
103,Kotka,FI,60.4664,26.9458,-6.54,82,47,4.0,scattered clouds
104,Aljezur,PT,37.3191,-8.8033,55.81,74,53,15.1,broken clouds
105,Mecca,SA,21.4267,39.8261,75.11,72,57,6.04,broken clouds
106,Laguna,US,38.421,-121.4238,55.26,87,90,1.01,fog
107,Thompson,CA,55.7435,-97.8558,-12.84,77,90,0.0,overcast clouds
108,Fort Nelson,CA,58.8053,-122.7002,6.39,85,75,0.0,broken clouds
109,Luwuk,ID,-0.9516,122.7875,78.06,88,100,1.77,overcast clouds
110,Kichera,RU,55.9375,110.0997,8.26,85,40,4.85,scattered clouds
111,Alofi,NU,-19.0595,-169.9187,73.29,100,90,6.91,moderate rain
112,Wuwei,CN,37.9281,102.6414,30.94,37,2,1.83,clear sky
113,Garowe,SO,8.4054,48.4845,69.3,66,96,13.42,overcast clouds
114,Dalkola,IN,25.85,87.85,66.74,71,5,4.12,clear sky
115,The Valley,AI,18.217,-63.0578,84.06,69,40,12.66,scattered clouds
116,Atar,MR,20.5169,-13.0499,70.63,12,68,11.21,broken clouds
117,Longyearbyen,SJ,78.2186,15.6401,24.64,86,40,3.44,scattered clouds
118,Kloulklubed,PW,7.0419,134.2556,82.38,72,100,2.73,overcast clouds
119,Areosa,PT,41.7178,-8.8571,51.33,79,96,17.83,overcast clouds
120,Bredasdorp,ZA,-34.5322,20.0403,64.27,89,99,11.7,overcast clouds
121,Kenora,CA,49.8167,-94.4337,10.38,72,90,8.05,overcast clouds
122,Nara,JP,34.6851,135.8049,45.97,78,3,2.55,clear sky
123,Priargunsk,RU,50.3691,119.1012,6.22,99,100,1.25,overcast clouds
124,Hithadhoo,MV,-0.6,73.0833,81.48,75,93,10.36,moderate rain
125,Qaanaaq,GL,77.484,-69.3632,7.29,65,16,7.81,few clouds
126,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,94,75,4.61,broken clouds
127,Deputatskiy,RU,69.3,139.9,-35.54,83,98,3.31,overcast clouds
128,Veraval,IN,20.9,70.3667,73.11,57,0,13.69,clear sky
129,Xaxim,BR,-26.9617,-52.5347,79.18,28,0,5.7,clear sky
130,Jamestown,US,42.097,-79.2353,29.08,87,90,8.99,light snow
131,Georgetown,MY,5.4112,100.3354,78.89,82,20,1.01,few clouds
132,Chernyshevskiy,RU,63.0128,112.4714,-24.7,97,92,2.82,overcast clouds
133,Takapau,NZ,-40.0333,176.35,71.73,59,79,3.69,broken clouds
134,Tsaratanana,MG,-16.7833,47.65,74.35,54,1,6.64,clear sky
135,Garchitorena,PH,13.8804,123.6946,77.54,82,100,18.57,overcast clouds
136,Cheney,US,47.4874,-117.5758,45.25,68,1,23.02,clear sky
137,Cherskiy,RU,68.75,161.3,-43.85,99,100,3.53,overcast clouds
138,Salalah,OM,17.0151,54.0924,73.49,40,0,1.14,clear sky
139,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,20,3.44,few clouds
140,Padang,ID,-0.9492,100.3543,77.41,87,67,4.18,broken clouds
141,Ribeira Grande,PT,38.5167,-28.7,61.2,67,75,5.75,broken clouds
142,Camacha,PT,33.0833,-16.3333,60.53,72,75,9.22,broken clouds
143,Taseyevo,RU,57.2169,94.8978,-6.65,96,46,3.65,scattered clouds
144,Hot Springs,US,34.5037,-93.0552,58.55,30,4,5.01,clear sky
145,Ravar,IR,31.2656,56.8055,50.23,31,100,1.74,overcast clouds
146,Niksar,TR,40.5917,36.9517,50.09,84,100,3.27,overcast clouds
147,Quang Ngai,VN,15.1167,108.8,70.41,91,100,3.78,overcast clouds
148,Butaritari,KI,3.0707,172.7902,82.42,77,72,12.8,broken clouds
149,Souillac,MU,-20.5167,57.5167,78.37,78,20,3.44,few clouds
150,Poronaysk,RU,49.2167,143.1167,15.46,90,63,2.37,broken clouds
151,Mahebourg,MU,-20.4081,57.7,78.26,78,20,3.44,few clouds
152,Altay,CN,47.8667,88.1167,23.83,98,100,3.36,light snow
153,Olafsvik,IS,64.8945,-23.7142,35.74,83,100,26.82,overcast clouds
154,Keetmanshoop,NA,-26.5833,18.1333,83.32,24,0,13.96,clear sky
155,Atuona,PF,-9.8,-139.0333,78.21,74,11,17.54,few clouds
156,Jacmel,HT,18.2342,-72.5347,80.58,64,1,4.63,clear sky
157,Guadalupe,MX,25.6833,-100.25,90.39,45,100,5.12,overcast clouds
158,Yellowknife,CA,62.456,-114.3525,6.42,95,90,6.91,light snow
159,Husavik,IS,66.0449,-17.3389,17.51,63,41,14.45,scattered clouds
160,Lewisporte,CA,49.2499,-55.0482,29.91,51,100,9.8,overcast clouds
161,Hermanus,ZA,-34.4187,19.2345,69.91,85,95,13.73,overcast clouds
162,Clyde River,CA,70.4692,-68.5914,7.03,78,27,4.61,scattered clouds
163,Vestmanna,FO,62.1564,-7.1664,36.52,93,75,16.11,broken clouds
164,College Place,US,46.0493,-118.3883,52.99,61,39,17.0,scattered clouds
165,Ulan-Ude,RU,51.8261,107.6098,3.09,85,40,4.47,scattered clouds
166,Saint Anthony,US,45.0205,-93.218,20.84,75,75,3.0,broken clouds
167,Kenai,US,60.5544,-151.2583,15.85,87,90,0.0,light snow
168,Maues,BR,-3.3836,-57.7186,80.26,92,98,1.54,overcast clouds
169,San Quintin,MX,30.4833,-115.95,64.98,68,73,10.58,broken clouds
170,Sorong,ID,-0.8833,131.25,80.87,80,100,5.3,overcast clouds
171,Kaitangata,NZ,-46.2817,169.8464,58.05,75,84,2.28,broken clouds
172,Lima,PE,-12.0432,-77.0282,70.14,68,40,14.97,scattered clouds
173,Santa Ana,US,33.7456,-117.8678,71.51,59,20,3.0,few clouds
174,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,70.07,62,3,12.62,clear sky
175,Muleba,TZ,-1.8397,31.6544,68.22,75,96,4.38,overcast clouds
176,Katsuura,JP,35.1333,140.3,52.2,77,99,26.84,overcast clouds
177,Wanning,CN,18.8003,110.3967,71.58,84,81,14.61,broken clouds
178,Santa Cruz De La Palma,ES,28.6835,-17.7642,68.14,64,75,14.97,broken clouds
179,Taoudenni,ML,22.6783,-3.9836,65.1,16,89,8.77,overcast clouds
180,Lalgudi,IN,10.8667,78.8333,77.32,94,40,3.44,mist
181,Lorengau,PG,-2.0226,147.2712,80.42,85,100,17.02,overcast clouds
182,Vostok,RU,46.4856,135.8833,11.62,88,31,4.68,scattered clouds
183,Garmsar,IR,35.2182,52.3409,50.02,48,99,2.44,overcast clouds
184,Cabedelo,BR,-6.9811,-34.8339,83.07,75,8,12.06,clear sky
185,Havelock,US,34.8791,-76.9013,48.15,95,100,1.01,overcast clouds
186,North Bend,US,43.4065,-124.2243,49.86,97,100,8.37,overcast clouds
187,Igarka,RU,67.4667,86.5833,10.85,94,100,17.34,light snow
188,Lasa,IT,46.6166,10.7002,33.26,96,100,2.19,snow
189,Coihaique,CL,-45.5752,-72.0662,75.15,35,20,10.36,few clouds
190,Victoria,HK,22.2855,114.1577,67.98,83,34,5.01,scattered clouds
191,Rognan,NO,67.0953,15.3878,17.74,87,6,11.07,clear sky
192,Fortuna,US,40.5982,-124.1573,56.19,73,90,1.99,overcast clouds
193,Lermontovka,RU,47.1453,134.3383,16.0,91,95,5.14,overcast clouds
194,Puerto Narino,CO,-3.7703,-70.3831,91.35,83,100,3.78,overcast clouds
195,Ixtapa,MX,20.7,-105.2,90.81,27,5,6.87,clear sky
196,Tasiilaq,GL,65.6145,-37.6368,29.73,90,100,38.5,snow
197,Tiksi,RU,71.6872,128.8694,-19.57,96,100,6.69,overcast clouds
198,Labuhan,ID,-6.8844,112.2051,78.87,84,100,8.86,overcast clouds
199,Constitucion,CL,-35.3333,-72.4167,65.1,71,38,11.72,scattered clouds
200,Ust-Ilimsk,RU,58.0006,102.6619,-2.97,91,54,7.56,broken clouds
201,Osa,RU,57.2829,55.4567,27.01,96,100,12.19,light snow
202,Salinopolis,BR,-0.6136,-47.3561,80.67,83,24,7.85,heavy intensity rain
203,Coos Bay,US,43.3665,-124.2179,49.98,91,90,11.5,haze
204,Norman Wells,CA,65.282,-126.8329,10.44,85,90,11.5,light snow
205,Wattegama,LK,6.7989,81.4808,73.51,94,80,3.29,broken clouds
206,Ahipara,NZ,-35.1667,173.1667,71.06,67,88,2.86,overcast clouds
207,Tlapacoyan,MX,19.9667,-97.2167,81.43,67,19,5.46,few clouds
208,La Ronge,CA,55.1001,-105.2842,1.65,78,90,8.05,light snow
209,Boende,CD,-0.2167,20.8667,73.17,91,96,2.55,light rain
210,Maner,IN,25.65,84.8833,55.31,50,23,5.73,few clouds
211,Abilene,US,32.4487,-99.7331,77.49,18,1,4.0,clear sky
212,Saint-Philippe,RE,-21.3585,55.7679,74.75,72,20,9.01,few clouds
213,Hami,CN,42.8,93.45,28.06,62,99,4.43,overcast clouds
214,Sovetskiy,RU,61.3614,63.5842,3.99,92,100,5.1,overcast clouds
215,Jumla,NP,29.2747,82.1838,37.9,38,0,5.79,clear sky
216,Coreau,BR,-3.5333,-40.6567,89.06,41,48,6.76,scattered clouds
217,Moerai,PF,-22.4333,-151.3333,76.96,86,100,14.29,moderate rain
218,Bud,US,39.447,-86.1758,41.68,53,5,9.75,clear sky
219,Oranjestad,AW,12.524,-70.027,84.15,70,20,20.71,few clouds
220,Saint George,US,37.1041,-113.5841,55.94,61,96,1.99,overcast clouds
221,Yulara,AU,-25.2406,130.9889,69.64,40,1,8.05,clear sky
222,Belaya Gora,RU,68.5333,146.4167,-49.4,100,97,2.17,overcast clouds
223,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,44,0,20.71,clear sky
224,Carnarvon,AU,-24.8667,113.6333,71.67,88,90,12.66,overcast clouds
225,Novocheboksarsk,RU,56.111,47.4776,32.56,93,90,8.95,mist
226,Saskylakh,RU,71.9167,114.0833,-6.97,90,100,9.24,overcast clouds
227,Ancud,CL,-41.8697,-73.8203,80.22,63,3,7.2,clear sky
228,Mayumba,GA,-3.432,10.6554,78.64,90,92,2.04,overcast clouds
229,Bonavista,CA,48.6499,-53.1147,32.11,54,100,15.79,overcast clouds
230,San Patricio,US,28.017,-97.5169,81.01,45,42,6.8,scattered clouds
231,Akureyri,IS,65.6835,-18.0878,17.53,86,0,8.05,clear sky
232,Narsaq,GL,60.9167,-46.05,21.22,82,71,9.44,broken clouds
233,Kabansk,RU,52.0486,106.6528,3.69,90,100,5.06,overcast clouds
234,Gimbi,ET,9.1667,35.8333,58.14,37,48,1.52,scattered clouds
235,Gazanjyk,TM,39.2446,55.5154,48.87,60,2,18.99,clear sky
236,Khatanga,RU,71.9667,102.5,0.64,96,100,11.3,overcast clouds
237,Maltahohe,NA,-24.8333,16.9833,72.55,22,0,13.24,clear sky
238,Richards Bay,ZA,-28.783,32.0377,71.46,94,95,3.83,overcast clouds
239,Kariba,ZW,-16.5167,28.8,82.94,38,73,5.23,broken clouds
240,Abhar,IR,36.1468,49.218,39.52,79,7,6.58,clear sky
241,Mitsamiouli,KM,-11.3847,43.2844,79.86,77,29,10.94,scattered clouds
242,Andilamena,MG,-17.0167,48.5833,60.26,94,11,2.93,few clouds
243,Vrangel,RU,42.7297,133.0839,35.58,55,0,4.63,clear sky
244,Linjiang,CN,41.8069,126.9078,19.71,95,100,1.07,overcast clouds
245,Belyy,RU,55.8402,32.9419,7.18,94,46,6.67,scattered clouds
246,Isangel,VU,-19.55,169.2667,80.71,83,40,0.0,scattered clouds
247,Virginia Beach,US,36.8529,-75.978,46.02,75,100,1.01,overcast clouds
248,Kirakira,SB,-10.4544,161.9205,82.09,85,99,10.94,overcast clouds
249,Jahazpur,IN,25.6167,75.2833,60.22,45,0,4.21,clear sky
250,Buraydah,SA,26.326,43.975,61.25,22,73,10.58,broken clouds
251,Kapit,MY,2.0167,112.9333,73.22,100,62,0.98,broken clouds
252,Turukhansk,RU,65.8167,87.9833,-1.03,97,100,22.79,snow
253,Saint-Joseph,RE,-21.3667,55.6167,73.76,73,22,7.07,few clouds
254,Salamiyah,SY,35.0113,37.0532,49.98,79,100,11.95,overcast clouds
255,Dikson,RU,73.5069,80.5464,-3.71,94,100,22.77,overcast clouds
256,Cururupu,BR,-1.8283,-44.8683,79.65,80,30,3.44,scattered clouds
257,Erzin,TR,36.9559,36.2,50.72,88,100,5.79,overcast clouds
